T_in,L_bed,feasible,TAC_hi,eff_TAC,reason
930.0,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
930.0,0.825,False,,1498.2,生産量不足 1172.56 < 下限 target × 1.000 = 1188.21 kmol/h (違反 1.317pp)
930.0,0.95,True,1198.44,1198.44,
930.0,1.075,True,1116.42,1116.42,
930.0,1.2,True,1088.26,1088.26,
930.0,1.325,True,1072.41,1072.41,
930.0,1.45,True,1066.54,1066.54,
930.0,1.575,True,1063.78,1063.78,
930.0,1.7,True,1062.62,1062.62,
930.0,1.825,True,1061.84,1061.84,
930.0,1.95,True,1061.78,1061.78,
931.0,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
931.0,0.825,False,,1514.11,生産量不足 1170.41 < 下限 target × 1.000 = 1188.21 kmol/h (違反 1.499pp)
931.0,0.95,True,1193.82,1193.82,
931.0,1.075,True,1117.6,1117.6,
931.0,1.2,True,1088.93,1088.93,
931.0,1.325,True,1071.02,1071.02,
931.0,1.45,True,1065.49,1065.49,
931.0,1.575,True,1062.94,1062.94,
931.0,1.7,True,1061.37,1061.37,
931.0,1.825,True,1060.76,1060.76,
931.0,1.95,True,1060.72,1060.72,
932.0,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
932.0,0.825,False,,1533.78,生産量不足 1167.67 < 下限 target × 1.000 = 1188.21 kmol/h (違反 1.729pp)
932.0,0.95,True,1199.38,1199.38,
932.0,1.075,True,1112.88,1112.88,
932.0,1.2,True,1087.62,1087.62,
932.0,1.325,True,1069.51,1069.51,
932.0,1.45,True,1063.9,1063.9,
932.0,1.575,True,1061.63,1061.63,
932.0,1.7,True,1060.06,1060.06,
932.0,1.825,True,1059.08,1059.08,
932.0,1.95,True,1055.69,1055.69,
933.0,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
933.0,0.825,False,,1627.27,生産量不足 1152.38 < 下限 target × 1.000 = 1188.21 kmol/h (違反 3.016pp)
933.0,0.95,True,1194.31,1194.31,
933.0,1.075,True,1111.47,1111.47,
933.0,1.2,True,1085.73,1085.73,
933.0,1.325,True,1068.11,1068.11,
933.0,1.45,True,1062.25,1062.25,
933.0,1.575,True,1060.27,1060.27,
933.0,1.7,True,1058.72,1058.72,
933.0,1.825,True,1055.0,1055.0,
933.0,1.95,True,1046.64,1046.64,
934.0,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
934.0,0.825,False,,1576.54,生産量不足 1161.73 < 下限 target × 1.000 = 1188.21 kmol/h (違反 2.229pp)
934.0,0.95,True,1200.51,1200.51,
