T_in,L_bed,feasible,TAC_hi,eff_TAC,reason
930.0,1.5333,True,1104.6,1104.6,
931.6667,1.5333,True,1110.5,1110.5,
930.0,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
931.6667,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
933.3333,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
935.0,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
936.6667,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
938.3333,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
940.0,0.7,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
930.0,0.9083,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
931.6667,0.9083,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
933.3333,0.9083,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
935.0,0.9083,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
936.6667,0.9083,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
938.3333,0.9083,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
940.0,0.9083,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
930.0,1.1167,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
931.6667,1.1167,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
933.3333,1.1167,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
935.0,1.1167,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
936.6667,1.1167,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
938.3333,1.1167,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
940.0,1.1167,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
930.0,1.325,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
931.6667,1.325,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
933.3333,1.325,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
935.0,1.325,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
936.6667,1.325,True,1017.3,1017.3,
938.3333,1.325,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
940.0,1.325,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
933.3333,1.5333,True,1116.6,1116.6,
935.0,1.5333,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
936.6667,1.5333,True,1129.9,1129.9,
938.3333,1.5333,True,1137.0,1137.0,
940.0,1.5333,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
930.0,1.7417,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
931.6667,1.7417,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
933.3333,1.7417,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
935.0,1.7417,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
936.6667,1.7417,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
938.3333,1.7417,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
940.0,1.7417,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
930.0,1.95,True,1109.9,1109.9,
931.6667,1.95,True,1115.5,1115.5,
933.3333,1.95,True,1121.8,1121.8,
935.0,1.95,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
936.6667,1.95,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
938.3333,1.95,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
940.0,1.95,False,,5000.0,solver-level: PSA/Mem CAPEX ペナルティ発火
