x,y,feasible,TAC_hi,eff_TAC,reason
80000.0,115,True,1111.83,1111.83,
80000.0,122,True,1107.02,1107.02,
80000.0,130,True,1108.27,1108.27,
80000.0,138,True,1109.83,1109.83,
80000.0,145,True,1112.46,1112.46,
80000.0,152,True,1113.11,1113.11,
80000.0,160,True,1113.54,1113.54,
92438.26817332327,115,False,nan,10000.00,solve_flowsheet で未処理例外: ValueError: expansion_valve: 全成分流量がゼロです。
92438.26817332327,122,False,nan,10000.00,solve_flowsheet で未処理例外: ValueError: expansion_valve: 全成分流量がゼロです。
92438.26817332327,130,False,nan,10000.00,solve_flowsheet で未処理例外: ValueError: expansion_valve: 全成分流量がゼロです。
92438.26817332327,138,False,nan,10000.00,solve_flowsheet で未処理例外: ValueError: expansion_valve: 全成分流量がゼロです。
92438.26817332327,145,False,nan,10000.00,solve_flowsheet で未処理例外: ValueError: expansion_valve: 全成分流量がゼロです。
92438.26817332327,152,False,nan,10000.00,solve_flowsheet で未処理例外: ValueError: expansion_valve: 全成分流量がゼロです。
92438.26817332327,160,False,nan,10000.00,solve_flowsheet で未処理例外: ValueError: expansion_valve: 全成分流量がゼロです。
106810.41778604014,115,True,1062.29,1062.29,
106810.41778604014,122,True,1062.09,1062.09,
106810.41778604014,130,True,1066.41,1066.41,
106810.41778604014,138,True,1072.76,1072.76,
106810.41778604014,145,True,1079.81,1079.81,
106810.41778604014,152,True,1085.88,1085.88,
106810.41778604014,160,True,1092.48,1092.48,
123417.1255376334,115,True,1058.04,1058.04,
123417.1255376334,122,True,1057.87,1057.87,
123417.1255376334,130,True,1062.18,1062.18,
123417.1255376334,138,True,1068.53,1068.53,
123417.1255376334,145,True,1075.57,1075.57,
123417.1255376334,152,True,1081.65,1081.65,
123417.1255376334,160,True,1088.25,1088.25,
142605.8168453557,115,True,1050.49,1050.49,
142605.8168453557,122,True,1048.68,1048.68,
142605.8168453557,130,True,1054.59,1054.59,
142605.8168453557,138,True,1059.43,1059.43,
142605.8168453557,145,True,1068.03,1068.03,
142605.8168453557,152,True,1074.07,1074.07,
142605.8168453557,160,True,1080.68,1080.68,
164777.9342578351,115,True,1053.48,1053.48,
164777.9342578351,122,True,1053.33,1053.33,
164777.9342578351,130,True,1057.64,1057.64,
164777.9342578351,138,True,1063.96,1063.96,
164777.9342578351,145,True,1071.02,1071.02,
164777.9342578351,152,True,1077.09,1077.09,
164777.9342578351,160,True,1083.70,1083.70,
190397.33594964945,115,True,1053.41,1053.41,
190397.33594964945,122,True,1052.05,1052.05,
190397.33594964945,130,True,1057.45,1057.45,
190397.33594964945,138,True,1059.53,1059.53,
190397.33594964945,145,True,1062.52,1062.52,
190397.33594964945,152,False,nan,5000.00,solver-level: PSA/Mem CAPEX ペナルティ発火
190397.33594964945,160,False,nan,5000.00,solver-level: PSA/Mem CAPEX ペナルティ発火
220000.0,115,False,nan,5000.00,solver-level: PSA/Mem CAPEX ペナルティ発火
220000.0,122,False,nan,5000.00,solver-level: PSA/Mem CAPEX ペナルティ発火
220000.0,130,True,1062.19,1062.19,
220000.0,138,True,1068.57,1068.57,
220000.0,145,True,1075.62,1075.62,
220000.0,152,True,1081.70,1081.70,
220000.0,160,True,1088.31,1088.31,
