area_frac,x_C3H6_ret,y_C3H6_perm_cum,stage_cut
0.00000,0.60700,nan,0.00000
0.00503,0.60609,0.99114,0.00236
0.01005,0.60518,0.99112,0.00471
0.01508,0.60427,0.99110,0.00706
0.02010,0.60335,0.99108,0.00940
0.02513,0.60244,0.99106,0.01174
0.03015,0.60152,0.99105,0.01408
0.03518,0.60059,0.99103,0.01641
0.04020,0.59967,0.99101,0.01874
0.04523,0.59874,0.99099,0.02106
0.05025,0.59781,0.99097,0.02338
0.05528,0.59688,0.99095,0.02569
0.06030,0.59594,0.99093,0.02800
0.06533,0.59500,0.99091,0.03031
0.07035,0.59406,0.99089,0.03261
0.07538,0.59312,0.99088,0.03490
0.08040,0.59217,0.99086,0.03719
0.08543,0.59122,0.99084,0.03948
0.09045,0.59027,0.99082,0.04176
0.09548,0.58932,0.99080,0.04404
0.10050,0.58836,0.99078,0.04632
0.10553,0.58740,0.99076,0.04858
0.11055,0.58644,0.99074,0.05085
0.11558,0.58548,0.99072,0.05311
0.12060,0.58451,0.99070,0.05537
0.12563,0.58354,0.99068,0.05762
0.13065,0.58257,0.99066,0.05986
0.13568,0.58160,0.99064,0.06210
0.14070,0.58062,0.99062,0.06434
0.14573,0.57964,0.99060,0.06657
0.15075,0.57866,0.99058,0.06880
0.15578,0.57767,0.99056,0.07103
0.16080,0.57669,0.99054,0.07324
0.16583,0.57570,0.99052,0.07546
0.17085,0.57471,0.99050,0.07767
0.17588,0.57371,0.99048,0.07987
0.18090,0.57271,0.99046,0.08207
0.18593,0.57172,0.99043,0.08427
0.19095,0.57071,0.99041,0.08646
0.19598,0.56971,0.99039,0.08864
0.20101,0.56870,0.99037,0.09083
0.20603,0.56769,0.99035,0.09300
0.21106,0.56668,0.99033,0.09517
0.21608,0.56566,0.99031,0.09734
0.22111,0.56465,0.99029,0.09950
0.22613,0.56363,0.99027,0.10166
0.23116,0.56261,0.99024,0.10381
0.23618,0.56158,0.99022,0.10596
0.24121,0.56055,0.99020,0.10810
0.24623,0.55952,0.99018,0.11024
0.25126,0.55849,0.99016,0.11237
0.25628,0.55746,0.99013,0.11450
0.26131,0.55642,0.99011,0.11663
0.26633,0.55538,0.99009,0.11874
0.27136,0.55434,0.99007,0.12086
0.27638,0.55329,0.99005,0.12297
0.28141,0.55225,0.99002,0.12507
0.28643,0.55120,0.99000,0.12717
0.29146,0.55015,0.98998,0.12926
0.29648,0.54909,0.98996,0.13135
0.30151,0.54803,0.98993,0.13344
0.30653,0.54698,0.98991,0.13551
0.31156,0.54591,0.98989,0.13759
0.31658,0.54485,0.98986,0.13966
0.32161,0.54378,0.98984,0.14172
0.32663,0.54272,0.98982,0.14378
0.33166,0.54164,0.98980,0.14583
0.33668,0.54057,0.98977,0.14788
0.34171,0.53949,0.98975,0.14993
0.34673,0.53842,0.98973,0.15197
0.35176,0.53734,0.98970,0.15400
0.35678,0.53625,0.98968,0.15603
0.36181,0.53517,0.98965,0.15805
0.36683,0.53408,0.98963,0.16007
0.37186,0.53299,0.98961,0.16208
0.37688,0.53190,0.98958,0.16409
0.38191,0.53080,0.98956,0.16609
0.38693,0.52971,0.98953,0.16809
0.39196,0.52861,0.98951,0.17008
0.39698,0.52751,0.98949,0.17207
0.40201,0.52640,0.98946,0.17405
0.40704,0.52530,0.98944,0.17603
0.41206,0.52419,0.98941,0.17800
0.41709,0.52308,0.98939,0.17997
0.42211,0.52197,0.98936,0.18193
0.42714,0.52085,0.98934,0.18389
0.43216,0.51974,0.98931,0.18584
0.43719,0.51862,0.98929,0.18778
0.44221,0.51749,0.98926,0.18972
0.44724,0.51637,0.98924,0.19166
0.45226,0.51525,0.98921,0.19359
0.45729,0.51412,0.98919,0.19551
0.46231,0.51299,0.98916,0.19743
0.46734,0.51186,0.98913,0.19935
0.47236,0.51072,0.98911,0.20125
0.47739,0.50959,0.98908,0.20316
0.48241,0.50845,0.98906,0.20505
0.48744,0.50731,0.98903,0.20695
0.49246,0.50617,0.98900,0.20883
0.49749,0.50502,0.98898,0.21072
0.50251,0.50388,0.98895,0.21259
0.50754,0.50273,0.98892,0.21446
0.51256,0.50158,0.98890,0.21633
0.51759,0.50043,0.98887,0.21819
0.52261,0.49927,0.98884,0.22004
0.52764,0.49812,0.98882,0.22189
0.53266,0.49696,0.98879,0.22374
0.53769,0.49580,0.98876,0.22558
0.54271,0.49464,0.98874,0.22741
0.54774,0.49347,0.98871,0.22924
0.55276,0.49231,0.98868,0.23106
0.55779,0.49114,0.98865,0.23287
0.56281,0.48997,0.98863,0.23469
0.56784,0.48880,0.98860,0.23649
0.57286,0.48763,0.98857,0.23829
0.57789,0.48646,0.98854,0.24009
0.58291,0.48528,0.98852,0.24187
0.58794,0.48410,0.98849,0.24366
0.59296,0.48292,0.98846,0.24544
0.59799,0.48174,0.98843,0.24721
0.60302,0.48056,0.98840,0.24898
0.60804,0.47938,0.98837,0.25074
0.61307,0.47819,0.98834,0.25249
0.61809,0.47700,0.98832,0.25424
0.62312,0.47581,0.98829,0.25599
0.62814,0.47462,0.98826,0.25773
0.63317,0.47343,0.98823,0.25946
0.63819,0.47224,0.98820,0.26119
0.64322,0.47104,0.98817,0.26291
0.64824,0.46985,0.98814,0.26463
0.65327,0.46865,0.98811,0.26634
0.65829,0.46745,0.98808,0.26804
0.66332,0.46625,0.98805,0.26974
0.66834,0.46505,0.98802,0.27144
0.67337,0.46384,0.98799,0.27312
0.67839,0.46264,0.98796,0.27481
0.68342,0.46143,0.98793,0.27648
0.68844,0.46022,0.98790,0.27816
0.69347,0.45901,0.98787,0.27982
0.69849,0.45781,0.98784,0.28148
0.70352,0.45659,0.98781,0.28314
0.70854,0.45538,0.98778,0.28478
0.71357,0.45417,0.98775,0.28643
0.71859,0.45295,0.98772,0.28806
0.72362,0.45174,0.98769,0.28970
0.72864,0.45052,0.98766,0.29132
0.73367,0.44930,0.98762,0.29294
0.73869,0.44808,0.98759,0.29456
0.74372,0.44686,0.98756,0.29617
0.74874,0.44564,0.98753,0.29777
0.75377,0.44442,0.98750,0.29937
0.75879,0.44320,0.98747,0.30096
0.76382,0.44198,0.98743,0.30254
0.76884,0.44075,0.98740,0.30412
0.77387,0.43953,0.98737,0.30570
0.77889,0.43830,0.98734,0.30727
0.78392,0.43707,0.98730,0.30883
0.78894,0.43584,0.98727,0.31039
0.79397,0.43462,0.98724,0.31194
0.79899,0.43339,0.98721,0.31348
0.80402,0.43216,0.98717,0.31502
0.80905,0.43093,0.98714,0.31656
0.81407,0.42970,0.98711,0.31809
0.81910,0.42846,0.98707,0.31961
0.82412,0.42723,0.98704,0.32112
0.82915,0.42600,0.98701,0.32264
0.83417,0.42477,0.98697,0.32414
0.83920,0.42353,0.98694,0.32564
0.84422,0.42230,0.98691,0.32713
0.84925,0.42106,0.98687,0.32862
0.85427,0.41983,0.98684,0.33010
0.85930,0.41859,0.98680,0.33158
0.86432,0.41736,0.98677,0.33305
0.86935,0.41612,0.98673,0.33452
0.87437,0.41488,0.98670,0.33597
0.87940,0.41365,0.98667,0.33743
0.88442,0.41241,0.98663,0.33888
0.88945,0.41117,0.98660,0.34032
0.89447,0.40994,0.98656,0.34175
0.89950,0.40870,0.98653,0.34318
0.90452,0.40746,0.98649,0.34461
0.90955,0.40623,0.98645,0.34603
0.91457,0.40499,0.98642,0.34744
0.91960,0.40375,0.98638,0.34885
0.92462,0.40251,0.98635,0.35025
0.92965,0.40128,0.98631,0.35164
0.93467,0.40004,0.98628,0.35303
0.93970,0.39880,0.98624,0.35442
0.94472,0.39757,0.98620,0.35579
0.94975,0.39633,0.98617,0.35717
0.95477,0.39510,0.98613,0.35853
0.95980,0.39386,0.98609,0.35989
0.96482,0.39262,0.98606,0.36125
0.96985,0.39139,0.98602,0.36260
0.97487,0.39015,0.98598,0.36394
0.97990,0.38892,0.98594,0.36528
0.98492,0.38769,0.98591,0.36661
0.98995,0.38645,0.98587,0.36794
0.99497,0.38522,0.98583,0.36926
1.00000,0.38399,0.98579,0.37057
