x,y,feasible,TAC_hi,eff_TAC,reason
0.9,115,True,1283.52,1283.52,
0.9,122,True,1261.35,1261.35,
0.9,130,True,1247.35,1247.35,
0.9,138,True,1235.58,1235.58,
0.9,145,True,1229.65,1229.65,
0.9,152,True,1221.39,1221.39,
0.9,160,True,1210.89,1210.89,
1.05,115,True,1116.62,1116.62,
1.05,122,True,1113.74,1113.74,
1.05,130,True,1116.40,1116.40,
1.05,138,True,1119.15,1119.15,
1.05,145,True,1122.42,1122.42,
1.05,152,True,1123.75,1123.75,
1.05,160,True,1125.16,1125.16,
1.2,115,True,1082.34,1082.34,
1.2,122,True,1083.08,1083.08,
1.2,130,True,1088.56,1088.56,
1.2,138,True,1095.02,1095.02,
1.2,145,True,1101.23,1101.23,
1.2,152,True,1105.81,1105.81,
1.2,160,True,1111.09,1111.09,
1.35,115,True,1062.80,1062.80,
1.35,122,True,1062.61,1062.61,
1.35,130,True,1066.94,1066.94,
1.35,138,True,1073.29,1073.29,
1.35,145,True,1080.33,1080.33,
1.35,152,True,1086.42,1086.42,
1.35,160,True,1093.01,1093.01,
1.5,115,True,1058.40,1058.40,
1.5,122,True,1058.22,1058.22,
1.5,130,True,1070.87,1070.87,
1.5,138,True,1068.89,1068.89,
1.5,145,True,1075.92,1075.92,
1.5,152,True,1082.02,1082.02,
1.5,160,True,1088.61,1088.61,
1.65,115,True,1046.50,1046.50,
1.65,122,True,1046.28,1046.28,
1.65,130,True,1047.44,1047.44,
1.65,138,True,1049.28,1049.28,
1.65,145,True,1064.02,1064.02,
1.65,152,True,1070.12,1070.12,
1.65,160,True,1079.18,1079.18,
1.8,115,False,nan,1247.47,生産量不足 1183.37 < 下限 target × 1.000 = 1188.21 kmol/h (違反 0.408pp)
1.8,122,False,nan,1256.94,生産量不足 1179.43 < 下限 target × 1.000 = 1188.21 kmol/h (違反 0.739pp)
1.8,130,False,nan,1226.08,生産量不足 1181.57 < 下限 target × 1.000 = 1188.21 kmol/h (違反 0.559pp)
1.8,138,False,nan,1225.49,生産量不足 1180.19 < 下限 target × 1.000 = 1188.21 kmol/h (違反 0.675pp)
1.8,145,False,nan,5000.00,solver-level: PSA/Mem CAPEX ペナルティ発火
1.8,152,False,nan,5000.00,solver-level: PSA/Mem CAPEX ペナルティ発火
